year,capacity,number
2005,<10,1467
2005,10-15,4234
2005,16-20,986
2005,21-25,250
2005,26-30,569
2005,31-35,19
2005,36-40,280
2005,41-45,1391
2005,46-50,417
2005,51-55,16
2005,56-60,9
2005,61-65,0
2005,66-70,9
2005,>70,3573
2006,<10,1484
2006,10-15,4363
2006,16-20,1014
2006,21-25,327
2006,26-30,568
2006,31-35,38
2006,36-40,280
2006,41-45,1479
2006,46-50,480
2006,51-55,18
2006,56-60,10
2006,61-65,0
2006,66-70,9
2006,>70,3761
2007,<10,1526
2007,10-15,4629
2007,16-20,1033
2007,21-25,325
2007,26-30,568
2007,31-35,34
2007,36-40,284
2007,41-45,1484
2007,46-50,533
2007,51-55,21
2007,56-60,10
2007,61-65,0
2007,66-70,4
2007,>70,3741
2008,<10,1544
2008,10-15,5114
2008,16-20,1072
2008,21-25,354
2008,26-30,556
2008,31-35,47
2008,36-40,295
2008,41-45,1527
2008,46-50,598
2008,51-55,20
2008,56-60,10
2008,61-65,0
2008,66-70,4
2008,>70,3835
2009,<10,1549
2009,10-15,5349
2009,16-20,1080
2009,21-25,491
2009,26-30,534
2009,31-35,48
2009,36-40,308
2009,41-45,1563
2009,46-50,677
2009,51-55,21
2009,56-60,9
2009,61-65,0
2009,66-70,4
2009,>70,4026
2010,<10,1556
2010,10-15,5370
2010,16-20,1062
2010,21-25,573
2010,26-30,473
2010,31-35,59
2010,36-40,334
2010,41-45,1702
2010,46-50,801
2010,51-55,22
2010,56-60,8
2010,61-65,2
2010,66-70,4
2011,<10,1549
2011,10-15,5604
2011,>70,4112
2011,16-20,1046
2011,21-25,670
2011,26-30,407
2011,31-35,65
2011,36-40,314
2011,41-45,1940
2011,46-50,887
2011,51-55,34
2011,56-60,9
2011,61-65,11
2011,66-70,4
2010,>70,3970
2012,<10,1605
2012,10-15,5571
2012,16-20,991
2012,21-25,716
2012,26-30,357
2012,31-35,67
2012,36-40,353
2012,41-45,1885
2012,46-50,944
2012,51-55,40
2012,56-60,9
2012,61-65,11
2012,66-70,4
2012,>70,4215
2013,<10,1592
2013,10-15,5511
2013,16-20,885
2013,21-25,786
2013,26-30,332
2013,31-35,77
2013,36-40,371
2013,41-45,1857
2013,46-50,1013
2013,51-55,61
2013,56-60,8
2013,61-65,14
2013,66-70,4
2013,>70,4554
2014,<10,1484
2014,10-15,5652
2014,16-20,755
2014,21-25,873
2014,26-30,290
2014,31-35,67
2014,36-40,342
2014,41-45,1782
2014,46-50,1016
2014,51-55,63
2014,56-60,7
2014,61-65,17
2014,66-70,4
2014,>70,4757
2015,<10,1406
2015,10-15,5946
2015,16-20,644
2015,21-25,991
2015,26-30,254
2015,31-35,66
2015,36-40,322
2015,41-45,1762
2015,46-50,1055
2015,51-55,81
2015,56-60,13
2015,61-65,19
2015,66-70,26
2015,>70,5155
2016,<10,1382
2016,15-Nov,6220
2016,16-20,525
2016,21-25,1045
2016,26-30,249
2016,31-35,64
2016,36-40,299
2016,41-45,1704
2016,46-50,1095
2016,51-55,120
2016,56-60,24
2016,61-65,32
2016,66-70,43
2016,>70,5536
2017,<10,1169
2017,15-Oct,6384
2017,16-20,442
2017,21-25,1093
2017,26-30,278
2017,31-35,63
2017,36-40,281
2017,41-45,1784
2017,46-50,1227
2017,51-55,141
2017,56-60,65
2017,61-65,60
2017,66-70,57
2017,>70,5770
