SUBZONE_N,AVG_TAP_IN_TAP_OUT_VOLUME_WEEKDAY_PEAK,AVG_TAP_IN_TAP_OUT_VOLUME_PEAK,AVG_TAP_IN_TAP_OUT_VOLUME_WEEKDAY,AVG_TAP_IN_TAP_OUT_VOLUME_WEEKLY,PEAK_HOUR_PERCENTAGE,WEEKDAY_PERCENTAGE,"('2020', 'Male Percentage')","('2020', '00 - 19')","('2020', '20 - 39')","('2020', '40 - 59')","('2020', '60 & Over')","('2020', 'Average Income')"
ALJUNIED,477236.0,2649777.0,2670371.0,15454280.0,0.1714591038857844,0.863958398579552,0.49362340585146286,6150,10720,12170,10940,11730.102219927723
ANAK BUKIT,147583.0,818550.0,849757.0,4909818.0,0.16671697403040195,0.8653650705586236,0.4741655235482396,4280,5660,6190,5750,19739.484317343173
ANCHORVALE,122622.0,674735.0,811713.0,4596871.0,0.1467813649763067,0.8828973012294667,0.4925187032418953,13550,14460,13710,6410,10559.805070656692
BEDOK NORTH,700065.0,3896305.0,4425740.0,25472206.0,0.15296299817927037,0.8687390483572566,0.4850928641251222,13230,20760,24610,23260,8815.353974689766
BEDOK RESERVOIR,155476.0,854617.0,878224.0,5012083.0,0.17051134229022144,0.8761068003063796,0.48998822143698467,5280,6820,7960,5420,12406.95080676899
BEDOK SOUTH,238124.0,1307834.0,1383054.0,7837346.0,0.16687205081924417,0.8823484378512828,0.48265524625267664,7580,11490,13700,13930,14164.927630157701
BENCOOLEN,55711.0,306317.0,342319.0,1975177.0,0.15508331658377958,0.8665527190727718,0.4732824427480916,160,330,430,410,8917.41935483871
BENDEMEER,251773.0,1379177.0,1409917.0,8042753.0,0.17148071064721246,0.8765139250204501,0.48549374500931597,6490,10320,10540,10210,9484.91264243082
BIDADARI,89373.0,479050.0,473366.0,2620105.0,0.18283618404605922,0.90333402668977,,0,0,0,0,
BOON KENG,115890.0,650322.0,659197.0,3873243.0,0.1679011618945674,0.8509626171143923,0.4775233248515691,1770,2970,3450,3630,7840.828644501279
BOULEVARD,311231.0,1775143.0,2003013.0,12109650.0,0.14658912520180187,0.8270317474080588,0.5121951219512195,70,90,110,120,20536.0
BRAS BASAH,69388.0,373929.0,356462.0,2011812.0,0.18586677085135192,0.885922740295813,,0,0,0,0,
BUKIT BATOK CENTRAL,387600.0,2108514.0,2093927.0,11894570.0,0.1772669377707643,0.880202899306154,0.4869915720043972,5370,7870,7780,6290,8909.22862385321
CHANGI AIRPORT,86739.0,497632.0,545864.0,3297886.0,0.15089423952192405,0.8275968302118387,,0,0,0,0,
CHENG SAN,779860.0,4274299.0,4388315.0,25063517.0,0.17053867579717563,0.8754387901745793,0.48005698005698005,4300,7190,8440,8150,6985.963532356096
CITY HALL,43116.0,241032.0,258532.0,1534975.0,0.1570266616720142,0.842137494095995,,0,0,0,0,
CLARKE QUAY,121694.0,656742.0,616150.0,3524104.0,0.18635715631547764,0.8741938376392978,0.5833333333333334,30,40,50,10,20536.0
CLEMENTI NORTH,408505.0,2222018.0,2177298.0,12356801.0,0.17982146026305676,0.8810120030257022,0.46511627906976744,4900,7370,8230,8320,7221.811797752809
COMMONWEALTH,140570.0,761057.0,724130.0,4099868.0,0.1856296349053189,0.8831137978100758,0.4614285714285714,880,1540,2210,2390,4501.157593123209
COMPASSVALE,179306.0,978283.0,1021160.0,5804420.0,0.16854104286044083,0.8796399984839139,0.48520992366412213,5850,6360,6100,2660,11035.76110845676
CORONATION ROAD,83281.0,449239.0,533649.0,2920730.0,0.15381051997274653,0.9135541457101478,0.4552238805970149,1730,1480,2030,1470,24074.202177293933
CRAWFORD,55632.0,307918.0,324790.0,1899055.0,0.162142749946684,0.8551358438802457,0.5525059665871122,920,1550,2440,3480,4839.634175691937
DAIRY FARM,21200.0,114314.0,126316.0,690279.0,0.16560550154357875,0.9149633698837716,0.4827089337175792,1650,1820,2310,1160,22169.492063492064
FARRER COURT,48300.0,264142.0,282829.0,1593866.0,0.16572409474824107,0.8872420893600842,0.4692556634304207,1600,1390,2030,1150,17857.414075286415
FARRER PARK,168923.0,975188.0,1064142.0,6427177.0,0.1517288227786476,0.827845568902179,0.5075187969924813,410,650,840,750,8786.37751004016
FERNVALE,135487.0,750791.0,910419.0,5177971.0,0.14499714270319397,0.8791271716276511,0.4907328685597687,16850,17760,16770,7430,10298.856310013718
GEYLANG BAHRU,96932.0,529279.0,535765.0,3045428.0,0.17379461934414472,0.8796218462560927,0.49822695035460995,1570,2550,3640,3530,6220.198037466548
GEYLANG EAST,312236.0,1743284.0,1859936.0,10836003.0,0.16087887757137018,0.8582205080600291,0.4859625668449198,5190,7770,8830,8140,12781.507952622673
GUILIN,177084.0,975057.0,1049443.0,5980776.0,0.16303185406040954,0.8773468526492214,0.4860896445131376,2400,3490,4250,2800,12797.544881889764
HOLLAND ROAD,73788.0,403160.0,416744.0,2347541.0,0.17173714963870707,0.8876181502261302,0.44280442804428044,2810,2330,3600,2100,22701.691449814127
HOUGANG CENTRAL,361727.0,1986189.0,2101858.0,12012163.0,0.1653481558650178,0.8748873953841618,0.4978813559322034,750,1390,1360,1220,13416.75641025641
JOO KOON,203447.0,1079802.0,894730.0,4906102.0,0.22009367110590036,0.9118542582278151,,0,0,0,0,
JOO SENG,157178.0,819334.0,589292.0,3200929.0,0.25596756441645535,0.920501516903374,0.49447852760736194,1480,2290,2410,1980,14246.559701492537
JURONG WEST CENTRAL,1035626.0,5643994.0,5586818.0,31799552.0,0.17748658849030327,0.8784428786921274,0.4989021329987453,14330,18090,20660,10700,10057.25470514429
KAKI BUKIT,339618.0,1824082.0,1599098.0,8973201.0,0.20328108107686432,0.8910410008646859,0.4901749663526245,5960,10760,10410,10030,9338.80626857606
KALLANG BAHRU,105080.0,560604.0,457497.0,2548562.0,0.21996875100546898,0.8975590941087562,,0,0,0,0,
KAMPONG UBI,219495.0,1164847.0,950870.0,5260516.0,0.22143208004690035,0.9037801614898614,0.49915254237288137,1940,3600,3310,2950,8345.979452054795
KEMBANGAN,204133.0,1120523.0,1106598.0,6329211.0,0.1770399185617291,0.8741990115355611,0.492660795302909,6030,9950,10370,11120,13195.00436919716
KHATIB,328340.0,1791570.0,1813953.0,10294742.0,0.17402767354441714,0.8810094512324835,0.48585365853658535,1470,2970,2990,2830,8457.788649706457
KOVAN,206437.0,1144473.0,1208098.0,6983532.0,0.16388168622983326,0.8649620278105692,0.482258064516129,4700,6760,7340,6010,21258.382700938393
LAVENDER,168078.0,928492.0,975049.0,5636975.0,0.16471458539376171,0.8648690121918228,0.5237603305785123,1610,2320,3110,2650,10963.872570194384
LEEDON PARK,50728.0,282794.0,323427.0,1873575.0,0.15093817968322593,0.8631279772627196,0.45962732919254656,1390,1470,2090,1500,24203.020217729394
LORONG CHUAN,57058.0,303749.0,277874.0,1536667.0,0.19766741916108044,0.9041451400986681,0.4817432273262662,1730,2190,2630,1960,23290.42619047619
MACPHERSON,136645.0,740260.0,707542.0,3994632.0,0.18531369097328615,0.8856159966675278,0.4959464222770532,4590,7690,8170,7930,7657.921248669741
MARITIME SQUARE,188372.0,1034845.0,1007927.0,5863209.0,0.17649805763362691,0.8595352817885223,0.4889502762430939,800,790,1380,680,20672.345679012345
MATILDA,179573.0,996132.0,1136390.0,6535063.0,0.15242882891871126,0.8694560404390899,0.49061302681992336,15640,17460,13630,5490,10311.905765179084
MEI CHIN,114376.0,622333.0,595461.0,3386958.0,0.18374393777543152,0.8790498730719424,0.4723650385604113,2500,3870,4720,4490,9747.130659767141
MOULMEIN,276721.0,1479915.0,1466736.0,8156517.0,0.18143957770210006,0.899119072515879,0.5075268817204301,2560,2100,3220,1410,21092.267391304347
NASSIM,59751.0,323967.0,339193.0,1896712.0,0.17080452910088617,0.8941605262158936,0.4632352941176471,2480,2030,3130,1900,21476.785185185185
NATIONAL UNIVERSITY OF S'PORE,141637.0,728528.0,661798.0,3467519.0,0.2101006512148888,0.9542817213114045,0.2916666666666667,30,180,50,0,
NATURE RESERVE,58794.0,327127.0,331845.0,1913702.0,0.17093936255488054,0.8670237058852424,0.4701298701298701,830,960,1320,770,21302.141361256545
NORTHSHORE,14122.0,80119.0,74054.0,440736.0,0.18178456037174182,0.8401174399186815,0.5111111111111111,90,130,140,110,19590.478260869564
ONE NORTH,109166.0,564404.0,489504.0,2594195.0,0.21756421548881252,0.9434603027143295,0.4861111111111111,180,190,300,50,21158.197183098593
PASIR PANJANG 1,105455.0,565225.0,494219.0,2767531.0,0.20423438797975524,0.8928879206773113,0.4888888888888889,850,1270,1510,890,22277.171171171172
PASIR RIS CENTRAL,368491.0,2019397.0,2134269.0,12164050.0,0.1660135398983069,0.8772855257911633,0.48852357320099254,6900,10030,10030,5300,13130.212779156327
PORT,57788.0,307998.0,248142.0,1362831.0,0.22599867481734712,0.9103916773246279,0.5,10,40,30,30,26058.0
POTONG PASIR,135899.0,738296.0,739340.0,4192887.0,0.17608297099349446,0.8816598205484669,0.48293515358361777,1790,2900,3460,3580,9373.423143350605
PUNGGOL FIELD,206894.0,1143222.0,1308644.0,7437015.0,0.15372054513806951,0.8798180452775745,0.49264705882352944,13110,11900,16570,7390,11076.111225117997
PUNGGOL TOWN CENTRE,41383.0,230541.0,272536.0,1563970.0,0.14740755896852242,0.8712954852075168,0.49056603773584906,6950,8110,5340,1900,8570.019775280898
REDHILL,180707.0,975011.0,869195.0,4917126.0,0.19828879715508613,0.8838445465908338,0.4849340866290019,2290,2500,3500,2330,10145.060836501902
RIVERVALE,229023.0,1260916.0,1433433.0,8146994.0,0.15477070438495474,0.8797312235654033,0.4935500083766125,13070,16590,18890,11150,11012.36488524041
SEMBAWANG CENTRAL,418241.0,2298175.0,2341001.0,13379675.0,0.17176613034322583,0.8748347773768795,0.4902298850574713,8100,10420,11040,5270,10563.763005780347
SEMBAWANG SPRINGS,105174.0,583257.0,601979.0,3491213.0,0.16706428396090414,0.8621344501180536,0.49284928492849284,2330,2810,2790,1190,21760.27713625866
SENGKANG TOWN CENTRE,308091.0,1697697.0,1966882.0,11213682.0,0.15139514389653638,0.8770009707783759,0.4902087716458974,14220,18960,18420,10220,10369.143321416965
SIMEI,287542.0,1561768.0,1602761.0,9025103.0,0.17304711093047914,0.8879460987869058,0.4828897338403042,7150,11060,12150,9090,14629.369254341165
SINGAPORE POLYTECHNIC,128710.0,672742.0,666017.0,3562038.0,0.18886435237355695,0.9348819411808633,,0,0,0,0,
SOMERSET,187443.0,1061527.0,1194354.0,7158401.0,0.14829107785383916,0.8342323935191672,0.42857142857142855,20,40,40,20,20536.0
SUNGEI ROAD,47517.0,270784.0,288614.0,1717805.0,0.15763372443321563,0.8400662473330791,0.4975609756097561,330,470,570,690,4662.009852216749
TAMAN JURONG,416904.0,2274510.0,2279025.0,12937155.0,0.17581222455787227,0.8808060968582351,0.49899799599198397,8900,11540,12270,7220,10554.410127851592
TAMPINES EAST,858881.0,4732470.0,5299500.0,30186529.0,0.15677423528886014,0.8777922098960103,0.4883561120867374,23380,38540,37560,31530,8932.523557802804
TAMPINES WEST,353522.0,1925713.0,2048001.0,11553266.0,0.16668126571308928,0.8863298914783058,0.4914637208134572,15520,23820,22710,17630,9882.745532343317
TANJONG RHU,47844.0,271103.0,284010.0,1690081.0,0.16040828812346863,0.8402260010023188,0.47074707470747074,2270,2480,4060,2290,15983.759781619654
TIONG BAHRU STATION,229915.0,1255604.0,1270353.0,7277843.0,0.17252419432515925,0.8727537815806139,0.4722222222222222,2780,3790,4660,3870,9250.393638170974
TOA PAYOH CENTRAL,483413.0,2665556.0,2881572.0,16616313.0,0.16041801812471876,0.8670912734973155,0.46236175526221907,5180,6980,8800,7060,8907.312971613366
TOA PAYOH WEST,169180.0,918800.0,903947.0,5126931.0,0.17921052575117552,0.8815673548171411,0.4578397212543554,2100,3580,4140,4550,9548.348559381588
TUAS NORTH,35955.0,189522.0,146968.0,794182.0,0.23863799481730888,0.9252790921980101,,0,0,0,0,
TUAS PROMENADE,26990.0,147401.0,114854.0,646446.0,0.2280174987547297,0.8883495295817438,,0,0,0,0,
TURF CLUB,64328.0,353423.0,275511.0,1567562.0,0.2254603007727924,0.8787882074201849,0.4925373134328358,110,180,190,200,26058.0
UPPER THOMSON,184543.0,1000907.0,951724.0,5374962.0,0.18621657232181363,0.8853309102464352,0.48179652943177953,5180,7080,8780,8350,16754.900789564024
VICTORIA,68704.0,378334.0,419648.0,2418449.0,0.15643662529166422,0.8675973733578835,0.4772727272727273,150,400,510,700,7023.116279069767
WATERWAY EAST,115133.0,636334.0,756547.0,4295786.0,0.14812981838480782,0.8805687713494108,0.49525504151838673,15700,16950,12970,4970,9563.9581027668
WOODLANDS EAST,572727.0,3126930.0,3289376.0,18614145.0,0.1679867649037869,0.8835689203022755,0.49994948984745935,23130,30470,31480,13910,9709.30099250557
WOODLANDS WEST,254941.0,1409087.0,1579596.0,8975706.0,0.15698898783003812,0.8799285538095833,0.5089943969330581,6220,10300,9840,7560,7374.195426195426
YEW TEE,302951.0,1653555.0,1746928.0,9926964.0,0.16657207581290714,0.8798903672865138,0.49777117384843983,8460,11480,13730,6730,11017.340267459138
YIO CHU KANG,288341.0,1520813.0,1365389.0,7430472.0,0.20467246226080926,0.9187767614224238,,0,0,0,0,
YISHUN WEST,570335.0,3148707.0,3384750.0,19424600.0,0.16209893640023476,0.8712534621047537,0.4956408829530699,9000,14410,17210,13280,8709.09291869614
